composition_label,n_positions,D_act,D_coke,D_rem,D_CO2,z
Co29Ni18Pd26Rh17Ru18,8,1.5255135223269463,2.254664182662964,-1.6365482807159424,1.399288256963094,1.6686196070103743
Co18Ni14Pd28Rh21Ru27,8,1.5149919465184212,2.2442665576934813,-1.6164609909057617,1.4275717394692558,1.6653496943076478
Co23Ni22Pd26Rh20Ru17,8,1.426473319530487,2.1157380640506744,-1.6257856573377336,1.3983835379282632,1.6274001411575214
Co17Ni23Pd28Rh19Ru21,8,1.3017194792628288,2.4691967010498046,-1.5497205734252928,0.6244218746821085,1.622828746690715
Co14Ni23Pd25Rh23Ru23,8,1.398709487169981,2.272823065519333,-1.5108906030654907,1.2084340572357177,1.6194894944180895
Co18Ni21Pd27Rh19Ru23,8,1.5766982398927212,2.2375842928886414,-1.5129173823765345,1.5114554961522422,1.6177514457941604
Co21Ni21Pd24Rh24Ru18,8,1.4702184572815895,2.1363885005315146,-1.5900797367095947,1.4313520193099976,1.615948331366877
Co19Ni24Pd29Rh18Ru18,8,1.3051784075796604,2.09573347227914,-1.4169928630193074,1.5627110799153645,1.6095513833580501
Co20Ni21Pd24Rh17Ru26,8,2.1661113277077675,2.4564132349831715,-1.7937561784471785,1.3429737431662423,1.607734840137782
Co19Ni17Pd27Rh31Ru14,8,1.5170220993459225,2.1683205127716065,-1.5086623668670656,1.5188942977360316,1.603087403447244
Co15Ni24Pd21Rh23Ru25,8,1.262763872742653,1.9411332607269287,-1.3999199072519937,1.8178480466206868,1.6020290663147088
Co18Ni22Pd24Rh21Ru23,8,1.7046322673559189,2.258341073989868,-1.6871113777160645,1.1098118623097737,1.5603018839264688
Co20Ni14Pd23Rh30Ru21,8,1.6601300202310085,2.370727014541626,-1.4836068153381348,1.1479252576828003,1.5541114292046494
Co21Ni19Pd20Rh22Ru26,8,1.6583773642778397,2.2868679761886597,-1.5801670551300049,1.1085680723190308,1.54416098485472
Co20Ni24Pd27Rh23Ru14,8,1.9760522320866585,2.1913399696350098,-1.7753435373306274,1.3110995292663574,1.5229081044932253
Co19Ni29Pd16Rh19Ru25,8,2.282900158315897,2.8459921649524142,-1.729025959968567,0.43874168395996094,1.512730270171266
Co22Ni18Pd24Rh25Ru19,8,1.586345136165619,2.2544609546661376,-1.4349696636199951,1.1945327520370483,1.5113320296670247
Co16Ni29Pd26Rh16Ru21,8,1.6130699589848518,2.042366121496473,-1.4201189279556274,1.6229812304178872,1.4955176212193844
Co21Ni17Pd32Rh20Ru18,8,1.9709517024457455,2.4620232582092285,-1.5378627479076385,1.0446038586752755,1.4930677094186051
Co18Ni24Pd24Rh23Ru19,8,1.5954058766365051,2.194830298423767,-1.5101366937160492,1.1171155316489083,1.4913521898038087
Co15Ni21Pd20Rh26Ru26,8,2.1707164011895657,2.2724013328552246,-1.726131558418274,1.358859340349833,1.488915097102068
Co24Ni17Pd23Rh22Ru22,8,1.4183157570660114,2.1534962994711737,-1.3356167248317172,1.17656139532725,1.4702768926640863
Co18Ni21Pd31Rh17Ru21,8,1.8349759802222252,2.360773245493571,-1.59750231107076,0.8361908197402954,1.4619492173239055
Co13Ni28Pd27Rh22Ru18,8,1.4863721057772636,2.0736986796061196,-1.411950667699178,1.2649140357971191,1.4618243510634923
Co12Ni16Pd21Rh32Ru27,8,1.8037961944937706,2.409580639430455,-1.507753917149135,0.8396879037221273,1.4594330032380354
Co24Ni21Pd25Rh16Ru22,8,1.2840834110975266,2.1417994158608575,-1.2967852183750699,1.026958363396781,1.4559603916104493
Co18Ni17Pd24Rh26Ru23,8,1.8547810763120651,2.038735787073771,-1.7858455975850422,1.163101315498352,1.4550257741596366
Co21Ni18Pd27Rh22Ru20,8,1.7883058339357376,2.1402541995048523,-1.5670079390207927,1.2158969470432825,1.4478482086969255
Co14Ni26Pd24Rh17Ru27,8,1.6975730955600739,2.256466865539551,-1.423650860786438,1.0915555953979492,1.4446587075825936
Co12Ni27Pd24Rh23Ru22,8,1.6656024530529976,2.30651448170344,-1.4376392841339112,0.9085755007607595,1.4412570382499887
Co22Ni20Pd20Rh23Ru23,8,1.5775263831019402,1.8880693912506104,-1.410690704981486,1.682379620415824,1.440719918451735
Co15Ni23Pd23Rh21Ru26,8,1.5556335747241974,1.788177251815796,-1.3742679357528687,1.8911412239074705,1.4340119102450752
Co17Ni20Pd24Rh24Ru23,8,2.08539180085063,2.5507033552442278,-1.3365202347437541,1.0786799907684326,1.4214835102610126
Co16Ni19Pd21Rh20Ru32,8,1.3207239136099815,2.1236892541249595,-1.2376451889673867,1.0273378917149134,1.409385505373941
Co20Ni30Pd16Rh26Ru16,8,1.7474400699138641,2.2948569456736245,-1.245794455210368,1.2205259799957275,1.4030446633266191
Co20Ni14Pd20Rh27Ru27,8,1.798557199537754,2.1192252159118654,-1.5211212635040285,1.1700285434722901,1.4029103337288664
Co16Ni15Pd26Rh27Ru24,8,1.377650160342455,2.0664667189121246,-1.3359119594097137,0.9868544510432652,1.3935227347616435
Co14Ni16Pd20Rh34Ru24,8,1.5723975487053394,1.8942004953111922,-1.352808674176534,1.559840758641561,1.3904993713650093
